[18:52:56 INF PalCalc.UI.App] Pal Calc version v1.16.3
[18:52:56 INF PalCalc.Model.PalDB] Loading embedded pal DB
[18:52:57 INF PalCalc.Model.PalDB] Successfully loaded embedded pal DB in 199ms
[18:52:57 INF PalCalc.Model.PalBreedingDB] Loading embedded breeding DB
[18:52:57 INF PalCalc.SaveReader.DirectSavesLocation] listing all local saves from known file locations
[18:52:57 INF PalCalc.SaveReader.DirectSavesLocation] checking for save game folders in C:\Users\Javier\AppData\Local/Pal/Saved/SaveGames
[18:52:58 INF PalCalc.SaveReader.SaveFile.Xbox.XboxWgsFolder] Unable to find Xbox save data package, skipping
[18:52:58 INF PalCalc.UI.ViewModel.MainWindowViewModel] Loading save metadata took 253ms
[18:52:58 INF PalCalc.Model.PalBreedingDB] Successfully loaded embedded breeding DB in 1740ms
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'Male_Soldier', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[18:53:01 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
